iddx_full,count,positive_count,negative_count,positive_ratio
Benign,399991,0,399991,0.000000
"Benign::Benign melanocytic proliferations::Nevus::Nevus, Atypical, Dysplastic, or Clark",228,0,228,0.000000
Benign::Benign melanocytic proliferations::Nevus,141,0,141,0.000000
"Malignant::Malignant adnexal epithelial proliferations - Follicular::Basal cell carcinoma::Basal cell carcinoma, Nodular",98,98,0,1.000000
Indeterminate::Indeterminate melanocytic proliferations::Atypical melanocytic neoplasm,64,0,64,0.000000
Benign::Benign epidermal proliferations::Seborrheic keratosis,56,0,56,0.000000
Malignant::Malignant epidermal proliferations::Squamous cell carcinoma in situ,48,48,0,1.000000
"Malignant::Malignant adnexal epithelial proliferations - Follicular::Basal cell carcinoma::Basal cell carcinoma, Superficial",48,48,0,1.000000
Malignant::Malignant melanocytic proliferations (Melanoma)::Melanoma in situ,46,46,0,1.000000
Indeterminate::Indeterminate epidermal proliferations::Solar or actinic keratosis,38,0,38,0.000000
"Malignant::Malignant melanocytic proliferations (Melanoma)::Melanoma Invasive::Melanoma Invasive, Superficial spreading",37,37,0,1.000000
"Benign::Benign melanocytic proliferations::Nevus::Nevus, NOS, Compound",30,0,30,0.000000
"Benign::Benign melanocytic proliferations::Nevus::Nevus, NOS, Dermal",20,0,20,0.000000
"Malignant::Malignant epidermal proliferations::Squamous cell carcinoma, Invasive",17,17,0,1.000000
Malignant::Malignant melanocytic proliferations (Melanoma)::Melanoma Invasive,13,13,0,1.000000
"Malignant::Malignant melanocytic proliferations (Melanoma)::Melanoma, NOS",13,13,0,1.000000
"Malignant::Malignant melanocytic proliferations (Melanoma)::Melanoma in situ::Melanoma in situ, Lentigo maligna type",12,12,0,1.000000
"Malignant::Malignant melanocytic proliferations (Melanoma)::Melanoma in situ::Melanoma in situ, associated with a nevus",12,12,0,1.000000
Benign::Benign epidermal proliferations::Solar lentigo,12,0,12,0.000000
Benign::Benign epidermal proliferations::Lichen planus like keratosis,11,0,11,0.000000
